Change Component Footprint: Designator=U? Old Footprint=LT-MSE-16-EDP_L New Footprint=FP-751-07-MFG
Change Component Comment : Designator=U? Old Comment=LT3798EMSE#PBF New Comment=NCP1200D40R2G
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D984AE66-1594-4C1B-80FF-C3AD724A2AF5 New ItemGUID=7E603C6C-7786-4DB6-8C2B-7ED63184663A Old RevisionGUID=256C8D01-9FC4-46D7-9B0A-0D3A86C75818 New RevisionGUID=0EFE5BA4-E0CC-41F0-969D-CEFF14766EA4
Change component parameters: Designator = "U?" ("U?"); Footprint = "LT-MSE-16-EDP_L"; UniqueID = "\XCDQHCUH" ("\XCDQHCUH")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Duty Cycle"; Value = "80%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fall Time"; Value = "28ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "40kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = "Halogen Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "4.953mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Bias Current"; Value = "20nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "10.16mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "EOL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Lifecycle Status"; Value = "LAST SHIPMENTS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Duty Cycle"; Value = "80%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-25°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "443205"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "250mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise Time"; Value = "67ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schedule B"; Value = "8542390000, 8542390000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switching Frequency"; Value = "42kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Topology"; Value = "Flyback"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "7.112mm"; VariantName = "[No Variations]"
Added Component: Designator=F?(3132874)
Add component (AddParameter): Name = "Arrow Part Number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://www.schurter.com/en/datasheet/ogn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "12.7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "SCHURTER"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "3-132-874"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "693-3-132-874"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Schurter/3-132-874?qs=vvQtp7zwQdNVuNUsJ79Inw%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=IC?(SOIC127P600X175-14N)
Add component (AddParameter): Name = "Arrow Part Number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://www.nxp.com/docs/en/data-sheet/TEA2208T.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "NXP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "TEA2208T/1J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "771-TEA2208T/1J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/TEA2208T-1J?qs=wnTfsH77Xs7i9IS7OBVq2w%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=Q?(FP-PG-HSOF-8-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Trans"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.infineon.com/dgdl/Infineon-IPT60R028G7-DS-v02_00-EN.pdf?fileId=5546d46259d9a4bf015a13e82df70e30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current"; Value = "75A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depletion Mode"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Transistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "MOSFETs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "MOSFET N-CH 600V 75A HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Breakdown Voltage"; Value = "600V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Resistance"; Value = "0.024O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Voltage"; Value = "650V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.infineon.com/cms/en/product/packages/PG-HSOF/PG-HSOF-8-2/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate Charge At Vgs"; Value = "123nC @ 10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate To Source Voltage"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitace At Vds"; Value = "4820pF @ 400V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Infineon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "IPT60R028G7XTMA1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
