Line #,Name,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","C0603C105K3RACTU","","C1","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","C1206C224K5RACTU","CAP CER 0.22UF 50V X7R 1206","C2","KEMET","C1206C224K5RACTU","Volume Production","Digikey","399-C1206C224K5RACTUCT-ND","0.17","0.68"
"","C0603C105K3RACTU","","C3","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","C1206C101J1GACTU","CAP CER 100PF 100V C0G/NP0 1206","C4","KEMET","C1206C101J1GACTU","Volume Production","Mouser","80-C1206C101J1G","0.16","0.64"
"","C0603C105K3RACTU","","C5","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","C0603C105K3RACTU","","C6","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","C1206C101J1GACTU","CAP CER 100PF 100V C0G/NP0 1206","C7","KEMET","C1206C101J1GACTU","Volume Production","Mouser","80-C1206C101J1G","0.16","0.64"
"","C1206C224K5RACTU","CAP CER 0.22UF 50V X7R 1206","C8","KEMET","C1206C224K5RACTU","Volume Production","Digikey","399-C1206C224K5RACTUCT-ND","0.17","0.68"
"","C1206C224K5RACTU","CAP CER 0.22UF 50V X7R 1206","C9","KEMET","C1206C224K5RACTU","Volume Production","Digikey","399-C1206C224K5RACTUCT-ND","0.17","0.68"
"","C1206C101J1GACTU","CAP CER 100PF 100V C0G/NP0 1206","C10","KEMET","C1206C101J1GACTU","Volume Production","Mouser","80-C1206C101J1G","0.16","0.64"
"","C1206C101J1GACTU","CAP CER 100PF 100V C0G/NP0 1206","C11","KEMET","C1206C101J1GACTU","Volume Production","Mouser","80-C1206C101J1G","0.16","0.64"
"","C1206C224K5RACTU","CAP CER 0.22UF 50V X7R 1206","C12","KEMET","C1206C224K5RACTU","Volume Production","Digikey","399-C1206C224K5RACTUCT-ND","0.17","0.68"
"","EEUFR1H101","Aluminum Electrolytic Capacitors (Radial Lead Type) 100uF ±20% 50V","C13","Panasonic","EEU-FR1H101","Volume Production","Newark","83AK4266","0.192","0.384"
"","C0603C105K3RACTU","","C14","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","C0603C104K3RACTU","CAP CER 0.1UF 25V X7R 0603","C15","KEMET","C0603C104K3RACTU","Volume Production","Mouser","80-C0603C104K3R7867","0.1","0.2"
"","C0603C102J3GACTU","CAP CER 1000PF 25V 5% NP0 0603","C16","KEMET","C0603C102J3GACTU","Volume Production","Newark","14N2172","0.016","0.032"
"","C0603C105K3RACTU","","C17","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","EEUFR1H101","Aluminum Electrolytic Capacitors (Radial Lead Type) 100uF ±20% 50V","C18","Panasonic","EEU-FR1H101","Volume Production","Newark","83AK4266","0.192","0.384"
"","C0603C104K3RACTU","CAP CER 0.1UF 25V X7R 0603","C19","KEMET","C0603C104K3RACTU","Volume Production","Mouser","80-C0603C104K3R7867","0.1","0.2"
"","C0603C102J3GACTU","CAP CER 1000PF 25V 5% NP0 0603","C20","KEMET","C0603C102J3GACTU","Volume Production","Newark","14N2172","0.016","0.032"
"","C0603C105K3RACTU","","C21","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","GRM188R61A226ME15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V","C22","Murata","GRM188R61A226ME15D","Volume Production","Digikey","490-10476-6-ND","0.11","0.11"
"","06035C104K4T2A","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","C23","Kyocera AVX","06035C104K4T2A","Volume Production","Newark","26M5128","0.01","0.02"
"","Capacitor 1µF +/-0.1% 25V 0603","Chip Capacitor, 1µF +/-0.1%, 25V, 0603, Thickness 1 mm","C24","Samsung","CL10A105KA8NNNC","Volume Production","Newark","82AC9275","0.005","0.005"
"","C0603C120J5GACTU","Ceramic Capacitor 12Pf 50V, C0G, 5%, 0603, Full Reel","C25","KEMET","C0603C120J5GACTU","Volume Production","Newark","19C1214","0.007","0.014"
"","C0603C120J5GACTU","Ceramic Capacitor 12Pf 50V, C0G, 5%, 0603, Full Reel","C26","KEMET","C0603C120J5GACTU","Volume Production","Newark","19C1214","0.007","0.014"
"","06035C104K4T2A","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","C27","Kyocera AVX","06035C104K4T2A","Volume Production","Newark","26M5128","0.01","0.02"
"","CC0603KRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","C28","Vishay Vitramon","VJ0603Y101KXACW1BC","Unknown","Avnet","62AC8337","0.036","0.108"
"","CC0603KRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","C29","Vishay Vitramon","VJ0603Y101KXACW1BC","Unknown","Avnet","62AC8337","0.036","0.108"
"","EMK107BBJ106MA-T","Multilayer Ceramic Capacitor 10uF 16V X5R 20% SMD 0603 T/R","C30","Taiyo Yuden","EMK107BBJ106MA-T","Volume Production","Digikey","587-3238-6-ND","0.32","0.96"
"","EMK107BBJ106MA-T","Multilayer Ceramic Capacitor 10uF 16V X5R 20% SMD 0603 T/R","C31","Taiyo Yuden","EMK107BBJ106MA-T","Volume Production","Digikey","587-3238-6-ND","0.32","0.96"
"","CC0603KRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","C32","Vishay Vitramon","VJ0603Y101KXACW1BC","Unknown","Avnet","62AC8337","0.036","0.108"
"","CC0603KRX7R7BB105","CAP CER 1UF 16V X7R 0603","C33","Yageo","CC0603KRX7R7BB105","Volume Production","Digikey","311-1446-6-ND","0.12","0.12"
"","EMK107BBJ106MA-T","Multilayer Ceramic Capacitor 10uF 16V X5R 20% SMD 0603 T/R","C34","Taiyo Yuden","EMK107BBJ106MA-T","Volume Production","Digikey","587-3238-6-ND","0.32","0.96"
"","GRM188R71H472KA01D","","C35","Murata","GRM188R71H472KA01D","Obsolete","Arrow Electronics","GRM188R71H472KA01D","0.0069","55.2"
